Domain,Type,Sponsoring Organisation,Date
.supplies,generic,"Atomic Fields, LLC",2025-06-12
.supply,generic,"Half Falls, LLC",2025-06-12
.support,generic,"Grand Orchard, LLC",2025-06-12
.surf,generic,Top Level Domain Holdings Limited,2025-06-12
.surgery,generic,"Tin Avenue, LLC",2025-06-12
.suzuki,generic,SUZUKI MOTOR CORPORATION,2025-06-12
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2025-06-12
.systems,generic,"Dash Cypress, LLC",2025-06-12
.taipei,generic,Taipei City Government,2025-06-12
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2025-06-12
.tattoo,generic,"Uniregistry, Corp.",2025-06-12
.tax,generic,"Storm Orchard, LLC",2025-06-12
.tech,generic,Dot Tech LLC,2025-06-12
.technology,generic,"Auburn Falls, LLC",2025-06-12
.temasek,generic,Temasek Holdings (Private) Limited,2025-06-12
.tennis,generic,"Cotton Bloom, LLC",2025-06-12
.tickets,generic,Accent Media Limited,2025-06-12
.tienda,generic,"Victor Manor, LLC",2025-06-12
.tips,generic,"Corn Willow, LLC",2025-06-12
.tires,generic,"Dog Edge, LLC",2025-06-12
.tirol,generic,punkt Tirol GmbH,2025-06-12
.today,generic,"Pearl Woods, LLC",2025-06-12
.tokyo,generic,"GMO Registry, Inc.",2025-06-12
.tools,generic,"Pioneer North, LLC",2025-06-12
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2025-06-12
.toshiba,generic,TOSHIBA Corporation,2025-06-12
.tours,generic,"Sugar Station, LLC",2025-06-12
.town,generic,"Koko Moon, LLC",2025-06-12
.toys,generic,"Pioneer Orchard, LLC",2025-06-12
.trade,generic,Elite Registry Limited,2025-06-12
